,locality,lat,lon,locality_id,city_id,city_name,max_uv,datetime,t_solar_rad,uv_levels,uv_id
0,EAST MELBOURNE,-37.818517,144.982207,1,6952201,East Melbourne,2.3,2022-07-31,1923.4,LOW,0
1,EAST MELBOURNE,-37.818517,144.982207,1,6952201,East Melbourne,2.3,2022-08-01,2226.5,LOW,0
2,EAST MELBOURNE,-37.818517,144.982207,1,6952201,East Melbourne,3.5,2022-08-03,3340.8,MODERATE,1
3,EAST MELBOURNE,-37.818517,144.982207,1,6952201,East Melbourne,2.7,2022-08-02,2698.5,LOW,0
4,WEST MELBOURNE,-37.810871,144.949592,2,7281818,West Melbourne,2.3,2022-07-31,1924.1,LOW,0
5,WEST MELBOURNE,-37.810871,144.949592,2,7281818,West Melbourne,2.3,2022-08-01,2227.0,LOW,0
6,WEST MELBOURNE,-37.810871,144.949592,2,7281818,West Melbourne,3.5,2022-08-03,3341.9,MODERATE,1
7,WEST MELBOURNE,-37.810871,144.949592,2,7281818,West Melbourne,2.7,2022-08-02,2699.4,LOW,0
8,ST KILDA ROAD MELBOURNE,-37.8368,144.976,4,2148955,South Melbourne,2.3,2022-07-31,1923.4,LOW,0
9,ST KILDA ROAD MELBOURNE,-37.8368,144.976,4,2148955,South Melbourne,2.3,2022-08-01,2226.5,LOW,0
10,ST KILDA ROAD MELBOURNE,-37.8368,144.976,4,2148955,South Melbourne,3.5,2022-08-03,3340.8,MODERATE,1
11,ST KILDA ROAD MELBOURNE,-37.8368,144.976,4,2148955,South Melbourne,2.7,2022-08-02,2698.5,LOW,0
12,WORLD TRADE CENTRE,-37.824608,144.950858,5,7521471,Docklands,2.3,2022-07-31,1924.1,LOW,0
13,WORLD TRADE CENTRE,-37.824608,144.950858,5,7521471,Docklands,2.3,2022-08-01,2227.0,LOW,0
14,WORLD TRADE CENTRE,-37.824608,144.950858,5,7521471,Docklands,3.5,2022-08-03,3341.9,MODERATE,1
15,WORLD TRADE CENTRE,-37.824608,144.950858,5,7521471,Docklands,2.7,2022-08-02,2699.4,LOW,0
16,SOUTH WHARF,-37.82528675,144.9520744,6,7521471,Docklands,2.3,2022-07-31,1924.1,LOW,0
17,SOUTH WHARF,-37.82528675,144.9520744,6,7521471,Docklands,2.3,2022-08-01,2227.0,LOW,0
